Section,Checklist Item,Description,적용,구현 위치,비고
실시간 채팅 및 메시징,메시지 내용 검증,"채팅 메시지에 대해 길이 제한, 허용 문자 집합, XSS 이스케이프 처리 여부 등 서버측 검증 수행 여부 확인",O,app.py on_send_message,"베이스 코드는 클라이언트 dict를 그대로 브로드캐스트. 1000자 제한 + 서버측 검증 추가"
,사용자 인증,"Socket 연결 시 사용자가 인증된 상태인지 확인하는 로직(예: 로그인 상태 확인)이 적용되어 있는지 확인",O,app.py socket_user() / on_connect,"베이스 코드는 인증 검사 전무 - 미로그인 사용자도 전체 브로드캐스트 가능했음. connect 시 세션 확인 후 미인증 연결 거부"
,신원 위조 방지,"채팅 발신자 신원을 클라이언트가 아닌 서버가 세션에서 판단하는지 확인",O,app.py on_send_message / static/js/chat.js,"베이스 코드는 username을 클라이언트가 전송 - 브라우저 콘솔에서 'admin'으로 바꿔 관리자 사칭 가능했음. 클라이언트 값 완전 무시"
,메시지 검증,"클라이언트에서 수신한 메시지 데이터의 형식 및 내용에 대해 서버측 검증 로직이 존재하는지 확인",O,app.py on_send_message,"isinstance(data, dict) 확인 + receiver_id 존재 여부 검증"
,Rate Limiting,"동일 사용자가 단기간에 과도한 메시지를 보내지 않도록 제한하는 기능(스팸 방지)이 구현되어 있는지 확인",O,app.py MSG_PER_10SEC,"10초당 5건 제한. Flask-Limiter는 HTTP 전용이라 소켓용 별도 구현"
,CORS 제한,"Socket.IO 연결 허용 출처가 제한되어 있는지 확인",O,app.py SocketIO(cors_allowed_origins=...),"기본값은 모든 출처 허용. ALLOWED_ORIGINS 환경변수로 제한"
,1:1 대화 격리,"타인의 1:1 대화 내역을 조회할 수 없는지 확인",O,app.py direct_chat,"조회 쿼리에 본인 참여 조건 강제. 누락 시 URL의 user_id만 바꿔 남의 대화 열람 가능(IDOR)"
,연결 암호화,"운영 환경에서 WSS(SSL/TLS 암호화된 웹소켓)를 사용하여 데이터 전송의 기밀성이 보장되는지 확인",△,-,"로컬 학습 환경이라 미적용. 운영 배포 시 리버스 프록시(nginx) + TLS 종단 처리 필요. ngrok 사용 시 HTTPS/WSS 자동 적용"
안전 거래 및 신고,폼 입력 검증,"신고 대상(target_id) 및 신고 사유(reason)에 대해 서버측 입력 검증, 길이 제한, XSS 방어 적용 여부 확인",O,app.py report,"베이스 코드는 target_id 무검증 저장. 대상 존재 여부 확인 + 사유 500자 제한"
,대상 종류 구분,"신고 대상이 사용자인지 상품인지 명확히 구분되는지 확인",O,schema.sql report.target_type,"베이스 코드는 target_id만 있어 유저/상품 구분이 불가능했음"
,인증된 사용자 접근,"신고 기능은 반드시 로그인한 사용자만 접근 가능하도록 제어되어 있는지 확인",O,security.py login_required,
,데이터 무결성 및 로그 관리,"신고 접수 시 올바른 형식의 데이터가 저장되고, 신고 활동이 감사 로그로 기록되는지 확인",O,db.py write_audit + audit_log 테이블,"신고/송금/로그인/관리자 조치 기록. 비밀번호·토큰 등 민감값은 기록하지 않음"
,신고 남용 방지,"동일 사용자의 반복 신고 제한, 신고 건수 제한 및 관리자 검토 프로세스 등 신고 기능 남용 방지 로직이 구현되어 있는지 확인",O,schema.sql UNIQUE 제약 + app.py report,"UNIQUE(reporter_id,target_type,target_id)로 중복 신고를 DB 차원에서 차단. 자기 신고 금지. 관리자는 자동 휴면 대상 제외(담합 공격 방어). 20건/시간 rate limit"
송금 (신규 요구사항),금액 검증,"송금액이 양의 정수이며 허용 범위 내인지 서버측 검증하는지 확인",O,security.py validate_positive_int,"음수 송금을 허용하면 '상대에게 -1000원 송금'이 '상대에게서 1000원 갈취'가 됨. 실수(float) 미사용 - 반올림 오차로 금액이 새어나감"
,트랜잭션 원자성,"잔액 확인과 차감이 하나의 트랜잭션 안에서 원자적으로 수행되는지 확인 (TOCTOU 경쟁 조건 방어)",O,db.py write_transaction() BEGIN IMMEDIATE,"★ 핵심 항목. tests/test_race_condition.py로 동시 12건 요청 시 1건만 성공 확인. tests/demo_vulnerable_transfer.py는 미적용 시 12건 전부 성공(공격자 잔액 -110000원)을 재현"
,자기 송금 차단,"자기 자신에게 송금할 수 없는지 확인",O,app.py transfer + schema.sql CHECK,"앱 검증 + DB CHECK(sender_id <> receiver_id) 이중"
,잔액 부족 검증,"잔액을 초과하는 송금이 거부되는지 확인",O,app.py transfer + schema.sql CHECK,"트랜잭션 내 검증 + DB CHECK(balance >= 0)가 최종 방어선"
,수신자 상태 확인,"차단·휴면 계정으로 송금이 되지 않는지 확인",O,app.py transfer,
,거래 기록,"모든 송금이 원장에 기록되어 사후 추적이 가능한지 확인",O,schema.sql transfer 테이블 + audit_log,
,Rate Limiting,"단시간 대량 송금 요청이 제한되는지 확인",O,app.py @limiter.limit('20 per hour'),
검색 (신규 요구사항),SQL 인젝션 방어,"검색어가 SQL 문자열에 직접 삽입되지 않고 파라미터 바인딩되는지 확인",O,app.py search,"검색은 SQL 인젝션이 가장 흔히 발생하는 지점. 파라미터 바인딩 적용"
,LIKE 와일드카드 이스케이프,"검색어의 % 와 _ 가 이스케이프되어 의도치 않은 패턴 매칭을 유발하지 않는지 확인",O,app.py search (ESCAPE 절),"'%' 한 글자로 전체 데이터를 긁어가는 것을 방지"
,결과 범위 제한,"검색 결과가 제한된 건수만 반환되어 대량 조회로 인한 부하가 없는지 확인",O,app.py search (LIMIT 50),
,차단 항목 제외,"차단된 상품이 검색 결과에 노출되지 않는지 확인",O,app.py search (WHERE status = 'active'),
관리자 (신규 요구사항),권한 검증,"관리자 기능이 role 기반으로 통제되며, role을 세션이 아닌 DB에서 확인하는지 확인",O,security.py admin_required,"세션에 is_admin을 넣으면 SECRET_KEY 유출 시 권한 상승으로 직결. 세션은 '누구인가'만 담고 '무엇을 할 수 있는가'는 서버가 DB로 판단"
,경로 노출 방지,"권한 없는 사용자에게 관리자 경로의 존재 자체가 노출되지 않는지 확인",O,security.py admin_required (abort(404)),"403 대신 404 반환. 403은 '여기 뭔가 있다'를 알려줌"
,상태 변경은 POST,"사용자·상품 차단 등 상태 변경이 GET이 아닌 POST + CSRF 토큰으로 수행되는지 확인",O,app.py admin_set_user_status/admin_set_product_status,"GET 링크면 관리자가 악성 링크를 클릭하는 것만으로 임의 사용자가 차단됨"
,자기 차단 방지,"관리자가 자신을 차단해 시스템에서 잠기는 것을 방지하는지 확인",O,app.py admin_set_user_status,
,기본 계정 금지,"admin/admin 같은 예측 가능한 기본 계정이 존재하지 않는지 확인",O,app.py ensure_admin,"ADMIN_PASSWORD 미설정 시 secrets.token_urlsafe(16)로 임의 생성 후 콘솔에 1회만 출력"
,감사 추적,"관리자의 모든 조치가 로그로 기록되는지 확인",O,db.py write_audit + /admin/logs,
전체 시스템,ORM 및 파라미터 바인딩,"SQLAlchemy ORM 및 파라미터 바인딩을 통해 SQL 인젝션 공격에 대한 방어가 제대로 이루어지고 있는지 확인",O,전체 쿼리,"ORM 미사용. 베이스 코드의 sqlite3 + 파라미터 바인딩 방식을 유지했으며 동등한 방어 수준. 송금의 명시적 트랜잭션 제어(BEGIN IMMEDIATE)는 raw sqlite3가 오히려 통제하기 쉬움"
,비밀 정보 관리,"SECRET_KEY 등 비밀값이 소스 코드에 하드코딩되지 않고 환경변수로 분리되었으며, 저장소에 커밋되지 않는지 확인",O,app.py create_app + .env + .gitignore,"베이스 코드는 SECRET_KEY='secret!'를 공개 저장소에 노출 - 세션 위조로 임의 계정 탈취 가능. 환경변수 미설정 시 기동 거부(기본값을 두면 아무도 설정하지 않아 하드코딩과 같아짐)"
,데이터베이스 권한,"데이터베이스 사용자 권한이 최소 권한 원칙에 따라 설정되어 민감 데이터 접근이 제한되어 있는지 확인",△,-,"SQLite는 파일 기반이라 DB 사용자 권한 개념이 없음. 파일시스템 권한과 .gitignore(*.db)로 대체. 운영 DB(PostgreSQL 등) 전환 시 적용 필요"
,외래키 제약,"참조 무결성이 DB 차원에서 강제되는지 확인",O,db.py PRAGMA foreign_keys = ON,"SQLite는 연결마다 켜야 함. 끄면 스키마의 REFERENCES가 전부 장식이 됨"
,보안 헤더 설정,"Content-Security-Policy, X-Frame-Options, X-Content-Type-Options 등의 보안 헤더가 적용되어 있는지 확인",O,app.py set_security_headers,"CSP를 script-src 'self'로 설정(unsafe-inline 제외). 이를 위해 모든 JS를 외부 파일로 분리"
,공급망 보안,"외부 CDN 의존이 최소화되었는지 확인",O,static/js/socket.io.min.js,"베이스 코드는 socket.io를 cdnjs에서 로드. CDN 침해 시 악성 스크립트 주입 경로가 됨. 로컬 다운로드로 전환하고 CSP를 'self'로 제한"
,HTTPS 적용,"운영 환경에서 HTTPS를 사용하여 데이터 전송 시 기밀성 및 무결성이 보장되는지 확인",△,app.py HTTPS_ONLY,"로컬 학습 환경이라 미적용. HTTPS_ONLY=1 설정 시 세션 쿠키에 Secure 플래그 적용됨. ngrok 사용 시 HTTPS 자동"
,에러 및 예외 처리,"예외 처리 시 민감 정보가 사용자에게 노출되지 않고, 에러 로그에 민감 정보 기록 방지 로직이 구현되어 있는지 확인",O,app.py errorhandler(500),"상세 내용은 서버 로그에만, 사용자에게는 일반 메시지만"
,요청 크기 제한,"과도한 크기의 요청으로 인한 DoS가 방지되는지 확인",O,app.py MAX_CONTENT_LENGTH,"2MB 제한"
,라이브러리 및 의존성 관리,"사용 중인 Flask, SQLAlchemy, Flask-SocketIO 등 라이브러리의 최신 보안 패치 및 업데이트가 적용되어 있는지 정기적으로 점검",O,requirements.txt,"버전 고정(pin). eventlet은 deprecated 경고가 있어 gevent 채택. pip-audit 등으로 정기 점검 필요"
